category_id	title	availability	group_type	descript	notes
111	Resting functional brain MRI	0	1	Resting-state functional MRI (rfMRI) measures changes in blood oxygenation associated with intrinsic brain activity (i.e., in the absence of an explicit task or sensory stimulus). Derived phenotypic fields estimate the apparent connectivity between pairs of brain regions, as reflected in the presence of spontaneous co-fluctuations in signal (i.e., the appearance of a connection based on co-activity, as opposed to a structural tract from dMRI).	
112	T2-weighted brain MRI	0	1	T2-weighted imaging is a structural technique with contrast dominated by signal decay from interactions between water molecules (T2 relaxation times). Image intensity is primarily related to pathology, with relatively subtle signal differences between grey and white matter. T2-weighted images depict alterations to tissue compartments typically associated with pathology (e.g., white matter lesions). <p> After early piloting, a standard T2/PD-weighted acquisition was dropped due to a combination of factors such as overall value and timing practicalities.	This category primarily refers to the T2 FLAIR structural scan. <p> The T2/PD scan was originally tentatively included as a standard protocol in diagnostic imaging for the detection of some pathologies. Consultation with research experts concluded it has little or no value to the research questions UK Biobank is likely to investigate. Further, the b=0 dMRI scans can to some extent be used as a surrogate for this. Hence in the face of overall scan time pressure, the T2/PD scan was dropped from the protocol during the pilot.
113	Local environment	0	1	Properties of the local environment around participants.	
114	Residential air pollution	0	1	This category contains data on local environmental exposures, conducted by the Small Area Health Statistics Unit (http://www.sahsu.org/) as part of the BioSHaRE-EU Environmental Determinants of Health Project (http://www.bioshare.eu/). The aim of the BioSHaRE-EU Environmental Determinants of Health Project is to harmonize environmental exposures from multiple biobanks in different countries. UK Biobank is a participating biobank in this project. <p> Air pollution estimates for the year 2010 were modelled for each address using a Land Use Regression (LUR) model developed as part of the European Study of Cohorts for Air Pollution Effects (ESCAPE, http://www.escapeproject.eu/), funded under the EU 7th Framework Programme (for references see below). The LUR model is based on ESCAPE monitoring done between 26 January 2010 - 18 January 2011, and air pollution estimates are representative for the year 2010. Traffic variables were calculated during the course of LUR based on Eurostreets (vs 3.1) digital road network for the year 2008. <p> Please note that the ESCAPE estimates for particulates are valid up to 400km from the monitoring area, which was in Greater London, but it is unclear how good the estimates are outside this area. All addresses which are more than 400km away from Greater London are not assigned PM10, PM2.5, PM2.5 absorbance and PM coarse concentrations and have missing data instead (number of records: 33,935). For more information on the individual models please see the ESCAPE project website: http://www.escapeproject.eu. <p> Air pollution estimates for the years 2005-2007 were derived from EU-wide air pollution maps (resolution 100 metre x 100 metre). The x,y-coordinates of UK Biobank participants were overlaid with these maps (projected to British National Grid) and the corresponding air pollution concentration of the 100 metre x 100 metre grid cell were assigned to the coordinate. EU-wide air pollution maps were modelled based on a LUR model for Europe which also includes satellite derived air pollution estimates to improve the model performance. For details of the model and model performance see: Vienneau D, de Hoogh K, Bechle MJ, Beelen R, van Donkelaar A, Martin RV, Millet DB, Hoek G, Marshall JD. 2013. Western European land use regression incorporating satellite- and ground-based measurements of NO2 and PM10. Environmental Science and Technology 47(23): 13555-13564.	
115	Residential noise pollution	0	1	This category contains data on local environmental exposures, conducted by the Small Area Health Statistics Unit (http://www.sahsu.org/) as part of the BioSHaRE-EU Environmental Determinants of Health Project (http://www.bioshare.eu/). The aim of the BioSHaRE-EU Environmental Determinants of Health Project is to harmonize environmental exposures from multiple biobanks in different countries. UK Biobank is a participating Biobank in this project <p> Noise estimates for the year 2009 were modelled using a version of the CNOSSOS-EU noise model. These Common NOise aSSessment methOdS (CNOSSOS) are recommended by the European Noise Directive 2002/49/EC. <p> Noise pollution estimates for the year 2010 were modelled for each address using a Land Use Regression (LUR) model developed as part of the European Study of Cohorts for Air Pollution Effects (ESCAPE) (http://www.escapeproject.eu/), funded under the EU 7th Framework Programme (for references see below). The LUR model is based on ESCAPE monitoring done between 26 January 2010 - 18 January 2011, and air pollution estimates are representative for the year 2010. Traffic variables were calculated during the course of LUR based on Eurostreets (vs 3.1) digital road network for the year 2008.	
116	Cognitive function online	0	1	Several of the cognitive function tests administered via touchscreen during the initial assessment visit were re-implemented as web-based questionnaires and participants were invited to complete them remotely. Two additional tests were also included. <p>The order of the tests was <ol> <li>Device and Mood</li> <li>Fluid intelligence</li> <li>Trail making</li> <li>Symbol digit substitution</li> <li>Pairs matching</li> <li>Numeric memory</li> </ol> <p> Because it was possible to complete the modules over a number of sessions the Device/Mood questions were asked at the beginning of each online session. Hence some people will have multiple sets of answers for Device/Mood and these can be related to their answer to the other modules by comparing their entry timestamps. <p> A reaction time test was also performed however the results were felt to be of insufficient quality to present due to inconsistencies in the timing routines of the various browsers and devices used by participants to perform the test.	
117	Pairs matching	0	1	This category contains data on 'pairs' matching tests. Participants are asked to memorise the position of as many matching pairs of cards as possible. The cards are then turned face down on the screen and the participant is asked to touch as many pairs as possible in the fewest tries. <p> Either two or three rounds were conducted. The first round used 3 pairs of cards, the second 6 pairs of cards and the third 8 pairs of cards. Participants were only presented with the third round if they made 0 or 1 errors on the second round. <p> For non-specialists, the primary item of interest is likely to be ~F20132~. <p> This measure was also performed in clinics using a touchscreen in ~L100030~.	
118	Fluid intelligence / reasoning	0	1	This category contains data on questions designed to assess 'Fluid intelligence' (i.e. the capacity to solve problems that require logic and reasoning ability, independent of acquired knowledge). The participant has 2 minutes to complete as many questions as possible from the test. <p> For non-specialists, the primary item of interest is ~F20191~. <p> This measure was also performed in clinics using a touchscreen in ~L100027~.	
119	Arterial spin labelling brain MRI	0	1	Arterial spin labelling brain MRI	
120	Numeric memory	0	1	This category contains data on a test designed to assess numeric short-term memory, as part of the touchscreen questionnaire. The participant was shown a 2-digit number to remember. The number then disappeared and after a short while they were asked to enter the number onto the screen. The number became one digit longer each time they remembered correctly (up to a maximum of 12 digits). Data collected include the number of digits and value of the number, the length of time the number was displayed, the time that the participant first entered and last entered a digit, the time taken to complete the test, the value of the number entered by the participant, whether or not the participant was correct, the maximum number of digits remembered, and whether the test was completed. This test is available for a subset of participants. <p> This measure was also performed in clinics using a touchscreen in ~L100029~.	
121	Trail making	0	1	Participants were presented with a series of labelled circles and instructed to touch them according to a particular ordering rule. <p> Note that all results begin at the second item in each trail since the test is initiated by the participant correctly clicking on the first item at which point the timer is started. <p> This measure was also performed in clinics using a touchscreen in ~L505~.	
122	Symbol digit substitution	0	1	Participants were presented with a series of grids in which symbols were to be matched to numbers according to a key presented on the screen. <p> The values for ~F20198~, ~F20200~, ~F20229~ and ~F20230~ must be considered together as the corresponding entries in them relate to the same challenge/response pair. <p> This measure was also performed in clinics using a touchscreen in ~L502~.	
123	Work environment	0	1	This category will contains the result for the online Healthy Work questionnaire conducted from June through September 2015. Results are expected to be finalised in Q4/15.	
124	Body composition by DXA	0	1	Body composition results derived from DXA measurements in UK Biobank assessment centre.	
125	Bone size, mineral and density by DXA	0	1	Bone composition results derived from DXA measurements in UK Biobank assessment centre.	
126	Liver MRI	0	1	Liver MRI images and derived data.	
127	Process authorisation	0	1	Indicates the member of staff who signed-off various stages/operations within the UK Biobank Assessment centres to confirm that they are a valid and correct record of what had taken place.	The original staff usernames have been replaced by arbitrary numeric IDs to preserve confidentiality. <p> Note that (with the exception of Welcome and Consent) not all participants completed every stage and process. The absence of a record here indicates that the participant did not complete the corresponding stage/process.
128	Pulse wave analysis	0	1	Pulse wave analysis and blood pressure measurement was carried out using a vicorder instrument during the heart MRI scan.	
129	Process completion times	0	1	Times when sections within the Assessment Centre were completed (i.e. signed-off by an appropriately qualified member of UK Biobank staff).	Note that (with the exception of Welcome and Consent) not all participants completed every stage and process. The absence of a record here indicates that the participant did not complete the corresponding stage/process.
130	Employment history	0	1	Participants were asked to enumerate their work history. Periods of 6 months or longer during which they were in paid full time employment for at least 15 hours each week have been labelled "jobs", with all other periods labelled "gaps". <p> Additional information about employment at the time of visiting a UK Biobank clinic is presented in ~L100064~.	
131	Pancreas MRI	0	1	Pancreas MRI images and derived data.	
132	Medical information	0	1	Medical information gathered during the working environment questionnaire.	
133	Left ventricular size and function	0	1	Left ventricular size and function, automatically derived from Heart MRI data (inlineVF).	
134	dMRI skeleton	0	1	Diffusion MRI skeleton measurements	
135	dMRI weighted means	0	1	Diffusion MRI weighted means	
136	Mental health	0	1	Results of the on-line mental health self-assessment questionnaire issued in 2016.	
137	Mental distress	0	1	Mental distress reported within the on-line mental health questionnaire.	
138	Depression	0	1	Depression reported within the on-line mental health questionnaire.	
139	Mania	0	1	Mania reported within the on-line mental health questionnaire.	
140	Anxiety	0	1	Anxiety reported within the on-line mental health questionnaire.	
141	Addictions	0	1	Addictions reported within the on-line mental health questionnaire.	
142	Alcohol use	0	1	Alcohol use reported within the on-line mental health questionnaire.	
143	Cannabis use	0	1	Cannabis use reported within the on-line mental health questionnaire.	
144	Unusual and psychotic experiences	0	1	Unusual and psychotic experiences reported within the on-line mental health questionnaire.	
145	Traumatic events	0	1	Traumatic events reported within the on-line mental health questionnaire.	
146	Self-harm behaviours	0	1	Self-harm behaviours reported within the on-line mental health questionnaire.	
147	Happiness and subjective well-being	0	1	Happiness and subjective well-being reported within the on-line mental health questionnaire.	
148	Urine processing	0	1	Urine processing metrics.	
149	Abdominal composition	0	1	This category contains derived data from the abdominal MRI, which were supplied by AMRA (Advanced MR Analytics AB, AMRA, Sweden). Methods on how these fields were derived are described in the OpenAccess publications: <p> West J, Dahlqvist Leinhard O, Romu T, Collins R, Garratt S, Bell JD, et al. (2016) Feasibility of MR-Based Body Composition Analysis in Large Scale Population Studies. PLoS ONE 11(9): e0163332. doi:10.1371/journal.pone.0163332 <p> Borga M, West J, Bell JD, et al. (2018) Advanced body composition assessment: from body mass index to body composition profiling. Journal of Investigative Medicine 66 (5). doi: 10.1136/jim-2018-000722 <p> Linge J, Borga M, West J et al. (2018) Body Composition Profiling in the UK Biobank Imaging Study. Obesity 26(11). doi: 10.1002/oby.22210 <p> Linge J, Whitcher B, Borga M et al. (2019) Sub-phenotyping Metabolic Disorders Using Body Composition: An Individualized, Nonparametric Approach Utilizing Large Data Sets. Obesity 27(7). Doi: 10.1002/oby.22510 <p> which are available as ~R163332~, ~R2166~, ~R1005~ and ~R1006~ in the Resources tab. When using the data for research purposes, the following publications may also be of interest: <ul> <li>Dahlqvist Leinhard O, Johansson A, Rydell J, et al., editors. Quantitative abdominal fat estimation using MRI. Proceedings of the 19th International Conference on Pattern Recognition (ICPR); 2008.</li> <li>Karlsson A, Rosander J, Romu T, et al. Automatic and quantitative assessment of regional muscle volume by multi-atlas segmentation using whole-body water-fat MRI. Journal of magnetic resonance imaging: JMRI. 2014. doi: 10.1002/jmri.24726 PMID: 25111561.</li> <li>Borga M, Thomas LE, Romu T, Rosander J, et al. Validation of a fast method for quantification of intra-abdominal and subcutaneous adipose tissue for large scale human studies. NMR in biomedicine. 2015; 28(12):1747-53. doi: 10.1002/nbm.3432 PMID: 26768490</li> <li>West J, Dahlqvist Leinhard O, Romu T, et al. (2016) Feasibility of MR-Based Body Composition Analysis in Large Scale Population Studies. PLoS ONE 11(9): e0163332. doi:10.1371/journal.pone.0163332</li> <ul>	
150	Home locations	0	1	This section holds information on the geographical location of the home addresses of participants before, at and after recruitment. The co-ordinates presented were derived from UK postcode information obtained from a variety of sources including self-report by participants.	
151	Greenspace and coastal proximity	0	1	This category contains environmental indicators relating to greenspace exposure and distance to the coast that was attributed to participants based on home location grid references. The data linkage was undertaken by the European Centre for Environment and Human Health, University of Exeter Medical School. The available metrics include: <ul> <li>Greenspace estimates (at 1000m and 300m home location buffers);</li> <li>Land coverage estimates (for domestic gardens and water) (at 1000m and 300m home location buffers);</li> <li>Land coverage estimates for the 'natural environment' compared to the 'built environment' (at 1000m and 300m home location buffers);</li> <li>Distance from home location to the coast.</li> </ul> The location used for each measurement was the participant's home at the time they were assessed in a UK Biobank centre. The date of the assessment visit is indicated in ~F53~.	There is evidence to suggest that where one lives can influence mental and physical health. Application 15374 focussed on analysis of mental health, diabetes, cardiovascular disease, obesity and physical activity. The aim was to understand the factors that mediate the relationship between the natural environment surrounding an individual and their physical and mental health. More specifically, the research sought to investigate associations between the environmental characteristics of participants' place of birth and current home location, and health outcomes (e.g. mental health and wellbeing, diabetes, cardiovascular disease and physical activity), with a focus on the questions: <ul> <li>Do individuals living in closer proximity to greenspace or blue space participate in more physical activity?</li> <li>Does proximity to greenspace or blue space influence mental health and wellbeing? Does physical activity mediate this?</li> <li>Are there associations between participants' place of birth and/or current living environment, and physical disease (specifically cardiovascular disease and diabetes)?</li> </ul> The Principal investigator was Dr Benedict Wheeler of the University of Exeter. <p> Note that some participants only have data available for one instance. The completeness of data across these fields is determined by the participant's country of residence since data-fields 24500-24505 are available for England only.
152	Process durations	0	1	To help UK Biobank optimise the use of equipment and staff time, many of the processes which occurred within the Assessment Centres were timed.	
153	Digestive health	0	1	Results of the on-line gastro-intestinal health self-assessment questionnaire issued in 2017.	
154	Experience of pain	0	1	Results for the "experience of pain" self-assessment questionnaire issued in 2019.	
155	Mood	0	1	This category contains questions on the mood of participants prior to completing the online cognitive questionnaire. Each question began "Over the last week have you:" <p> Because it was possible to complete the modules over a number of sessions the Device/Mood questions were asked at the beginning of each online session. Hence some people will have multiple sets of answers for Device/Mood and these can be related to their answer to the other modules by comparing their entry timestamps.	
156	Kidney MRI	0	1	Kidney MRI	
157	Cardiac and aortic function	0	1	Derived (from MRI) phenotypes of cardiac and aortic structure and function. For methodology see: <p> Bai, W., Suzuki, H., Huang, J. et al. <br>A population-based phenome-wide association study of cardiac and aortic structure and function. <br>Nat Med 26, 1654-1662 (2020). <br>https://doi.org/10.1038/s41591-020-1009-y.	.
170	Exome sequences	0	1	The first tranche of UK Biobank whole exome sequencing (WES) was made available for 50,000 UK Biobank participants in March 2019, and the data for an additional 150,000 participants was made available in October 2020. Initially data was computed using two protocols, FE and SPB, however these were replaced by a new improved unified OQFE pipeline when the additional 150,000 sequences were released (with the earlier values being reprocessed to match this). <p> Fields 23141-23146 will eventually contain information on all the participants for whom exome sequencing is possible. It will only be possible to access the data for these fields in-situ via UK Biobank's Research Access Platform.	The first 50k release prioritized individuals with whole body MRI imaging data, enhanced baseline measurements, hospital episode statistics (HES), and/or linked primary care records. Additionally, one disease area was selected for enrichment: individuals with admission to hospital with a primary diagnosis of asthma (ICD10 J45 or J46). With the addition of the additional 150k samples, the 200k release includes 1,135 parent-offspring pairs, 3,855 full-sibling pairs, including 101 trios, 27 monozygotic twin pair and 7,461 second degree genetically determined relationships. <p> Exomes were captured with the IDT xGen Exome Research Panel v1.0 including supplemental probes. The basic design targets 39 Mbp of the human genome (19,396 genes). Multiplexed samples were sequenced with dual-indexed 75x75 bp paired-end reads on the Illumina NovaSeq 6000 platform using S2 (initial 50k release) and S4 flow cells (all subsequent samples). A different IDT v1.0 oligo lot was used in the initial 50k sequencing than was used in the sequencing of all subsequent samples. Inclusion of this information as a covariate in downstream analyses is recommended. In each sample and among targeted bases, coverage exceeds 20X at 95.2% of sites on average. Complete sequencing protocols are described in detail by the summary manuscript (~Ehttps://pubmed.ncbi.nlm.nih.gov/33087929/~). <p> Primary and secondary analysis for the UKB 200k release was performed with an updated Functional Equivalence (FE) protocol that retains original quality scores in the CRAM files (referred to as the OQFE protocol, ~Ehttps://www.medrxiv.org/content/10.1101/2020.11.02.20222232v1~). The OQFE protocol aligns and duplicate-marks all raw sequencing data (FASTQs) to the full GRCh38 reference in an alt-aware manner as described in the original FE manuscript (~Ehttps://pubmed.ncbi.nlm.nih.gov/30279509/~). The OQFE CRAMs were then called for small variants with DeepVariant to generate per-sample gVCFs. These gVCFs were aggregated and joint-genotyped with GLnexus (~Ehttps://www.biorxiv.org/content/10.1101/572347v1~) to create a single multi-sample VCF (pVCF) for all UKB 200k samples. PLINK files were derived directly from this pVCF. Please note: to ensure that the UKB 200k data supports a broad range of analyses, no variant- or sample-level filters were pre-applied to the pVCF or PLINK files. The publicly released pVCF is the direct output of GLnexus, from which the PLINK files are generated. The pVCF contains allele-read depths and genotype qualities for all genotypes from which variant- and sample-level QC metrics can be calculated and to which analysis-specific filters can be applied. Examples of such filtering are described in the UKB 200K preprint (~Ehttps://www.medrxiv.org/content/10.1101/2020.11.02.20222232v1~). <p> Please note that the OQFE protocol differs from both previous UKB 50k releases, SPB and FE, which are described below for reference. All UKB 200k samples were processed from FASTQ with the OQFE docker (~Ehttps://hub.docker.com/r/dnanexus/oqfe~). Further details are provided in the WES FAQ at ~Ehttps://www.ukbiobank.ac.uk/media/cfulxh52/uk-biobank-exome-release-faq_v9-december-2020.pdf~ <p> In the original protocol, the SPB pipeline first converted all raw sequencing data to FASTQs according to Illumina NovaSeq best practices and aligned those reads to the GRCh38 reference genome with BWA-mem to generate a CRAM file for each sample. After read-duplicate marking, SNVs and indels were called for with WeCall (GenomicsPLC), generating a gVCF per sample. These gVCFs were joint genotyped using GLnexus (~Ehttps://www.biorxiv.org/content/10.1101/572347v1~) to create a single, unfiltered project-level VCF (pVCF). Genotype depth filters (SNV DP&ge;7, indel DP&ge;10) were applied prior to variant site filters requiring at least one variant genotype passing an allele balance filter (heterozygous SNV AB>0.15, heterozygous indel<0.20), resulting in a second 'filtered' pVCF. <p> To maximize data utility and ease of use, an additional "Functionally Equivalent" (FE) pVCF was generated from FASTQs, following the primary analysis protocol described in the 2018 manuscript (PMID: 30279509) and then subject to GATK 3.0 variant calling and hard filtering of variants with inbreeding coefficient<-0.03 or without at least one variant genotype of DP&ge;10, GQ&ge;20 and, if heterozygous, AB&ge;0.20.
171	Previous exome releases	0	1	Previous releases of exome data which have since been superceded. <p>Note that the original release of the SPB variant (Fields 23170-23174) was found to contain errors and has been replaced by corrected values in Fields 23175-23179. Both FE and SPB results are now obsolete and only the OQFE results should be used.	
172	Alternative exome processing	0	1	Exome results which have been processed by methods other than thoses used for the main release in ~L170~.	
180	Whole genome sequences	0	1	Whole genome sequence results. <p>It is anticipated that the first tranche of UK Biobank's whole genome sequence study will become available to researchers towards the end of 2021.	
181	BGI WGS pilot	0	1	During Q1/2018, UK Biobank made available a small number of samples to run 'proof-of-concept' whole genome sequencing to allow service providers be confident that their chosen technology platform would meet UK Biobank's quality requirements. As part of this, 48 samples (with an additional two blind spike duplicates) were provided to BGI. This category containts the results of this exercise. <p> The samples provided contained 100 microL total sample volume normalised to 20 nanograms/microL (2 nano-g total yield) and quantified via UV/VIS spectroscopy using Trinean DropSense 96 platform. BGI sequenced these using a BGISEQ-500 platform.	
182	Broad WGS pilot	0	1	During Q1/2018, UK Biobank made available a small number of samples to run 'proof-of-concept' whole genome sequencing to allow service providers be confident that their chosen technology platform would meet UK Biobank's quality requirements. As part of this, 48 samples (with an additional two blind spike duplicates) were provided to the Broad Institute (Harvard/MIT). This category contains the results of this exercise. <p> The samples provided contained 100 microL total sample volume normalised to 20 nanograms/microL (2 nano-g total yield) and quantified via UV/VIS spectroscopy using Trinean DropSense 96 platform. The Broad Institute sequenced these using an Illumina NovaSeq platform.	
183	WGS pilot studies	0	1	Whole genome sequences created during pilot studies prior to UK Biobanks main sequencing phase.	
184	Alternative WGS processing	0	1	WGS results processed by methods/pipelines other than the primary release.	
185	DRAGEN WGS	0	1	DRAGEN WGS	
186	Previous WGS releases	0	1	Previous WGS releases	
187	QC metrics for WGS processing	0	1	Additional QC metrics for whole genome sequence data.	
190	Freesurfer ASEG	0	1	Data generated with Freesurfer by subcortical volumetric segmentation (aseg).	
191	Freesurfer subsegmentation	0	1	Data generated with Freesurfer by subcortical volumetric sub-segmentation of various regions (see individual Field Notes).	
192	Freesurfer desikan white	0	1	Data generated with Freesurfer by parcellation of the white surface using Desikan-Killiany parcellation.	
193	Freesurfer desikan pial	0	1	Data generated with Freesurfer by parcellation of the pial surface using Desikan-Killiany parcellation.	
194	Freesurfer desikan gw	0	1	Data generated with Freesurfer calculated as a percentage of the mean gray-white matter intensity from Desikan-Killiany parcellation.	
195	Freesurfer BA exvivo	0	1	Data generated with Freesurfer by parcellation of the white surface using BA_exvivo parcellation.	
196	Freesurfer DKT	0	1	Data generated with Freesurfer by parcellation of the white surface using DKT parcellation.	
197	Freesurfer a2009s	0	1	Data generated with Freesurfer by parcellation of the white surface using Destrieux (a2009s) parcellation.	
220	NMR metabolomics	0	1	NMR metabolic biomarkers generated by Nightingale Health. <p>The first tranche of 249 metabolic biomarkers is available for EDTA plasma samples from approx 120,000 UK Biobank participants. <p>Metabolic biomarkers were measured from randomly selected EDTA plasma samples (aliquot 3) using a high-throughput NMR-based metabolic biomarker profiling platform developed by Nightingale Health Ltd. The measurements took place between June 2019 and April 2020 using six spectrometers at Nightingale Health, based in Finland. The biomarkers span multiple metabolic pathways, including lipoprotein lipids in 14 subclasses, fatty acids and fatty acid compositions, as well as various low-molecular weight metabolites, such as amino acids, ketone bodies, and glycolysis metabolites quantified in molar concentration units.	
221	NMR metabolomics QC indicators	0	1	QC indicators for NMR-metabolomics. <p>Note that some of the measurements have no QC warning flags raised against them and therefore the corresponding Field does not contain any data.	
222	NMR metabolomics processing	0	1	NMR-metabolomics processing	
